program-id,gendercoded wordlists,Male Pretty Printed Tuples,Female Pretty Printed Tuples
100,"[['competence', 'analyse', 'independent', 'decide', 'leading', 'independently', 'leadership'], ['supports', 'understanding', 'cooperation', 'support', 'responsibility']]","competence: and methodological and social competence which help students to

analyse: studies be able to analyse european integration processes in

independent: integration processes in an independent interdisciplinary and problem oriented

decide: research track our students decide which pathway they take

leading: from at least two leading european universities with an

independently: to conduct scientific work independently how to adapt to

leadership: how take responsibility and leadership in groups consisting of","supports: adequate manner the ma supports students in familiarizing with

understanding: and offers in depth understanding of political sociological historical

cooperation: regional national and supranational cooperation and conflicts of the

support: this journey by offering support and advice this is

responsibility: environments and how take responsibility and leadership in groups"
101,"[[], ['cooperations']]",,cooperations: catalogues there are permanent cooperations in teaching with the
102,"[['competences', 'competences', 'individual', 'competences'], []]","competences: and profile formation the competences acquired in the bachelor

competences: should acquire the following competences among others scientific work

competences: presentation as well as competences for oral patient presentation

competences: and profile formation the competences acquired in the bachelor

competences: should acquire the following competences among others scientific work

competences: presentation as well as competences for oral patient presentation

individual: planning and implementation of individual interventions professional communication with

competences: and profile formation the competences acquired in the bachelor

competences: should acquire the following competences among others scientific work

competences: presentation as well as competences for oral patient presentation",
103,"[['independently', 'independently', 'principles', 'competences', 'competencies'], []]","independently: graduates are qualified to independently acquire systematize and develop

independently: different publics to work independently according to scientific principles

independently: graduates are qualified to independently acquire systematize and develop

independently: different publics to work independently according to scientific principles

principles: independently according to scientific principles to reflect and evaluate

competences: prospects the knowledge and competences taught in this master

competencies: provides students with the competencies required to pursue a",
104,"[['analysis'], ['understand']]",analysis: and scientific methods of analysis which should help you,understand: across borders you will understand how texts allude to
105,"[['principles'], ['connection', 'depending']]",principles: working methods and construction principles of computer systems general,"connection: placed on the close connection with the application subject

depending: in core computer science depending on your interests you"
106,"[['principles'], ['cooperation', 'depending']]",principles: working method and construction principles of computer systems general,"cooperation: its interdisciplinary profile in cooperation with other faculties of

depending: work are also possible depending on the application subject"
107,"[['analytical', 'analysts', 'analysts', 'individuals', 'individuals', 'analysts', 'analysis'], ['cooperation', 'support']]","analytical: entrepreneurial or macroeconomic issues analytical thinking faculties as well

analysts: computer specialists and system analysts bachelor degree graduates will

analysts: services organisation and system analysts advisors and vendors or

analysts: project coordinators and system analysts are some examples of

analysts: computer specialists and system analysts bachelor degree graduates will

analysts: services organisation and system analysts advisors and vendors or

analysts: project coordinators and system analysts are some examples of

individuals: so called hybrid experts individuals who are familiar with

individuals: designing it solutions these individuals are often employed in

individuals: so called hybrid experts individuals who are familiar with

individuals: designing it solutions these individuals are often employed in

analysts: computer specialists and system analysts bachelor degree graduates will

analysts: services organisation and system analysts advisors and vendors or

analysts: project coordinators and system analysts are some examples of

analysis: department for example system analysis user consulting dp control","cooperation: and accompany also in cooperation with practical partners from

support: forms this additionally involves support in solving problems and"
108,"[[], []]",,
109,"[['competitive', 'lead', 'leaders', 'analytics', 'autonomy', 'decision', 'challenges', 'leading', 'leadership', 'leading'], ['commitment', 'understanding', 'connect']]","competitive: frontier of the modern competitive landscape a field where

lead: for those ready to lead in computational neuroscience bioinformatics

leaders: commitment is to forge leaders in data science this

analytics: deep diving into the analytics and methodologies that drive

autonomy: spearhead research projects with autonomy we emphasize the critical

decision: implications of data driven decision making through rigorous research

challenges: and influence the technological challenges of our times this

leading: is a collaboration with leading departments and institutes ensuring

leading: achieving a doctorate and leading the charge in data

leadership: limitless opening doors to leadership roles in innovation driven

leading: is a collaboration with leading departments and institutes ensuring

leading: achieving a doctorate and leading the charge in data","commitment: on the horizon our commitment is to forge leaders

understanding: in ethical considerations and understanding the broader implications of

connect: hands on internships we connect you with industry frontrunners"
